drug_id	drug_name	drug_synonyms	drug_cas_number	drug_brands	drug_type	drug_groups	drug_categories	target_count
DB02260	4-Oxosebacic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02261	Platelet Activating Factor	N/A	74389-68-7	N/A	small molecule	experimental	Antihypertensive Agents, Adrenergic beta-Antagonists	1
DB02262	Orotic Acid	N/A	65-86-1	N/A	small molecule	experimental	N/A	5
DB02263	Glyceraldehyde-3-Phosphate	N/A	142-10-9	N/A	small molecule	experimental	N/A	3
DB02264	O2-Sulfo-Glucuronic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	4
DB02265	Ethyl-Trimethyl-Silane	N/A	3439-38-1	N/A	small molecule	experimental	N/A	1
DB02266	Flufenamic Acid	N/A	530-78-9	N/A	small molecule	experimental	Anti-inflammatory Agents	4
DB02267	Argininosuccinate	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02268	4-(Acetylamino)-3-Amino Benzoic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02269	[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02270	Dimethylallyl S-Thiolodiphosphate	N/A	N/A	N/A	small molecule	experimental	N/A	3
DB02271	S-(2-Oxo)Pentadecylcoa	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02272	Porphobilinogen	2-aminomethylpyrrol-3-acetic acid 4-propionic acid, 5-(Aminomethyl)-4-(carboxymethyl)-1H-pyrrole-3-propionic acid, PBG	487-90-1	N/A	small molecule	experimental	N/A	1
DB02273	2,6-Dimethyl-7-Octen-2-Ol	N/A	18479-58-8	N/A	small molecule	experimental	N/A	0
DB02274	7-Keto-8-Aminopelargonic Acid	N/A	4707-58-8	N/A	small molecule	experimental	N/A	1
DB02275	[2-Aminomethyl-5-Oxo-4-(4-Oxo-Cyclohexa-2,5-Dienylmethyl)-4,5-Dihydro-Imidazol-1-Yl] -Acetaldehyde	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02276	(S)-2-(Phosphonoxy)Caproyl-L-Leucyl-P-Nitroanilide	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02277	1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02278	7,8-Dihydro-7,7-Dimethyl-6-Hydroxypterin	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02279	Benzoylformic Acid	N/A	611-73-4	N/A	small molecule	experimental	N/A	1
DB02280	(R)-Mandelic Acid	N/A	611-71-2	N/A	small molecule	experimental	N/A	2
DB02281	Formycin	N/A	6742-12-7	N/A	small molecule	experimental	Antineoplastic Agents	2
DB02282	5'-Deoxy-5'-Methylthioadenosine	N/A	N/A	N/A	small molecule	experimental	Enzyme Inhibitors, Antimalarials	2
DB02283	2-Phenylamino-Ethanesulfonic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02285	Protoporphyrin Ix	N/A	553-12-8	N/A	small molecule	experimental	Photosensitizing Agents	1
DB02286	2-Amino-3-(4-Amino-1h-Indol-3-Yl)Propanoic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02287	2-(2-Hydroxy-Phenyl)-3h-Benzoimidazole-5-Carboxamidine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02288	CRA_9334	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02289	2-Aminopropanedioic Acid	N/A	1068-84-4	N/A	small molecule	experimental	N/A	1
DB02290	3-{2,6,8-Trioxo-9-[(2s,3s,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Propyl Dihydrogen Phosphate	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02292	6-Oxo-8,9,10,11-Tetrahydro-7h-Cyclohepta[C][1]Benzopyran-3-O-Sulfamate	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02293	2,3-Di-O-Phytanly-3-Sn-Glycero-1-Phosphoryl-3'-Sn-Glycerol-1'-Phosphate	N/A	N/A	N/A	small molecule	experimental	Mol_Id: 1	0
DB02294	(5r,6s,7s,8s)-5-Hydroxymethyl-6,7,8-Trihydroxy-Tetrazolo[1,5-a]Piperidine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02295	N-[3-(Dimethylamino)Propyl]-2-({[4-({[4-(Formylamino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-5-Isopropyl-1,3-Thiazole-4-Carboxamide	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02296	1-Hydroxy-3-Methylbutane	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02297	2-Amino-6-Chloropyrazine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02298	5-Hydroxyamino-3-Methyl-Pyrrolidine-2-Carboxylic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02299	Arginineamide	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02300	Calcipotriol	Calcipotriene	112965-21-6	Davonex, Dovonex	small molecule	approved, nutraceutical	Dermatologic Agents, Vitamin D3 Receptor inhibitor, Antipsoriatic Agents	1
DB02301	5,10-Methylene-6-Hydrofolic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	3
DB02302	N3, N4-Dimethylarginine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02303	(5s)-5-Iododihydro-2,4(1h,3h)-Pyrimidinedione	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02304	Prostaglandin B2	N/A	13367-85-6	N/A	small molecule	experimental	N/A	0
DB02305	4,5-Dehydro-D-Glucuronic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02306	Palmitoyl-Linoleoyl Phosphatidylcholine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02307	N-(1-Carboxy-3-Phenylpropyl)Phenylalanyl-Alpha-Asparagine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02308	4-(1,3,2-Dioxaborolan-2-Yloxy)Butan-1-Aminium	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02309	5--Monophosphate-9-Beta-D-Ribofuranosyl Xanthine	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02310	3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02311	Methyl Methylsulfinylmethyl Sulfide	N/A	33577-16-1	N/A	small molecule	experimental	N/A	1
DB02312	Beta-Galactose-6-Phosphate	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02313	4-{2-(4-Fluoro-Benzyl)-6-Methyl-5-[(5-Methyl-Isoxazole-3-Carbonyl)-Amino]-4-Oxo-Heptanoylamino}-5-(2-Oxo-Pyrrolidin-3-Yl)-Pentanoic Acid Ethyl Ester	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02314	Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine-D-Glutamate	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02315	Cyclic Guanosine Monophosphate	Guanosine-3',5'-monophosphate	7665-99-8	N/A	small molecule	experimental	N/A	3
DB02316	1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02317	Alpha-D-Galactose-1-Phosphate	N/A	2255-14-3	N/A	small molecule	experimental	N/A	1
DB02318	2-Deoxy-2-Fluoro-Alpha-D-Mannosyl Fluoride	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02319	5,6-Dihydroxy-Nadp	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02320	1-N-Acetyl-Beta-D-Glucosamine	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02321	5-(3-Amino-4,4-Dihyroxy-Butylsulfanylmethyl)-Tetrahydro-Furan-2,3,4-Triol	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02322	Heparin Disaccharide I-S	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02323	EM-1745	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02324	5-Iodo-2'-Deoxyuridine-5'-Monophosphate	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02326	1-Hydroxyamine-2-Isobutylmalonic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02327	2-[2-(2-Hydroxy-Ethoxy)-Ethoxy]-Ethanol	N/A	N/A	N/A	small molecule	experimental	N/A	3
DB02328	2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02329	Carbenoxolone	N/A	5697-56-3	N/A	small molecule	experimental	Anti-Ulcer Agents	2
DB02331	(2s)-2-[(5-Benzofuran-2-Yl-Thiophen-2-Ylmethyl)-(2,4-Dichloro-Benzoyl)-Amino]-3-Phenyl-Propionic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02332	Flavin-N7 Protonated-Adenine Dinucleotide	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02333	Deoxyuridine-5'-Triphosphate	N/A	N/A	N/A	small molecule	experimental	N/A	5
DB02334	(R)-2-Hydroxy-3-Sulfopropanoic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02335	2-Aminothiazoline	N/A	1779-81-3	N/A	small molecule	experimental	N/A	1
DB02336	RU83876	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02337	S-(D-Carboxybutyl)-L-Homocysteine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02338	Nadph Dihydro-Nicotinamide-Adenine-Dinucleotidephosphate	N/A	N/A	N/A	small molecule	experimental	N/A	6
DB02339	Allyl-{6-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-Hexyl-}-Methyl-Amin	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02340	N-Acetyl-Serine	N/A	16354-58-8	N/A	small molecule	experimental	N/A	1
DB02341	Mdl 101,146	N/A	149859-17-6	N/A	small molecule	experimental	N/A	2
DB02343	3,6,9,12,15-Pentaoxaheptadecane	N/A	4353-28-0	N/A	small molecule	experimental	N/A	3
DB02344	O-Sialic Acid (Chair Conformation)	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02345	Selenocysteine	N/A	4408-78-0	N/A	small molecule	experimental	N/A	4
DB02346	3'-O-N-Octanoyl-a-D-Glucopyranosyl-B-D-Fructofuranoside	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02347	2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02348	Fluoro-Phosphite Ion	N/A	10163-15-2	N/A	small molecule	experimental	Cariostatic Agents	1
DB02349	Nicotinamide-Adenine-Dinucleotide-5-Hydroxy-4-Oxonorvaline	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02350	N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02351	Hirulog	N/A	128270-60-0	N/A	small molecule	experimental	Anticoagulants, Antithrombotics	1
DB02352	3-(Benzyloxy)Pyridin-2-Amine	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02353	Heparin Disaccharide Iii-S	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02354	4-{[1-Methyl-5-(2-Methyl-Benzoimidazol-1-Ylmethyl)-1h-Benzoimidazol-2-Ylmethyl]-Amino}-Benzamidine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02355	Adenosine-5'-Rp-Alpha-Thio-Triphosphate	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02356	4-Imidazolmethylene-5-Imidazolone Chromophore	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02357	Methyl-O3-(Alpha-D-Mannose)-Alpha-D-Mannose	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02358	LY374571	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02359	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02360	Bis-Napthyl Beta-Ketophosphonic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02361	S-Methyl Thiocysteine Group	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02362	4-Aminobenzoic Acid	N/A	150-13-0	N/A	small molecule	experimental	Vitamin B Complex	2
DB02363	2'-Monophosphoadenosine-5'-Diphosphate	N/A	N/A	N/A	small molecule	experimental	N/A	3
DB02364	2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02365	1,10-Phenanthroline	N/A	66-71-7	N/A	small molecule	experimental	Protease Inhibitors, Cross-Linking Reagents, Chelating Agents, Cholinesterase Inhibitors, Iron Chelating Agents, Intercalating Agents	2
DB02366	CRA_10762	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02367	(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02368	N-Acetyl-L-Citrulline	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02369	3-Aza-2,3-Dihydrogeranyl Diphosphate	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02370	Nz-(1-Carboxyethyl)-Lysine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02371	2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid	N/A	7365-44-8	N/A	small molecule	experimental	N/A	1
DB02372	2,5-Dimethylpyrimidin-4-Amine	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02373	Adenosine Monotungstate	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02374	Xylose-Derived Imidazole	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02375	Myricetin	3,3',4,4',5',7-Hexahydro-2-phenyl-4H-chromen-4-one, 3,5,7-Trihydroxy-2-(3,4,5-trihydroxyphenyl)-4H-1-benzopyran-4-one, 3,5,7-Trihydroxy-2-(3,4,5-trihydroxyphenyl)-4H-chromen-4-one, 3,5,7,3',4',5'-Hexahydroxyflavone, Cannabiscetin, MYC, Myricetol, Myricitin	529-44-2	N/A	small molecule	experimental	N/A	1
DB02376	D-Gluconhydroximo-1,5-Lactam	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02377	Guanine	N/A	73-40-5	N/A	small molecule	experimental	N/A	5
DB02378	MMI-175	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02379	Beta-D-Glucose	N/A	50-99-7	N/A	small molecule	experimental	Sweetening Agents	92
DB02380	2'-Deoxyinosine	N/A	890-38-0	N/A	small molecule	experimental	Purine Nucleoside Phosphorylase inhibitor	0
DB02381	Nor-N-Omega-Hydroxy-L-Arginine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02382	Namn	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02383	Tolrestat	N/A	82964-04-3	N/A	small molecule	experimental	Enzyme Inhibitors	3
DB02384	(E)-2-Fluoro-P-Hydroxycinnamate	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02385	Neopterin	N/A	2009-64-5	N/A	small molecule	experimental	N/A	0
DB02386	Leucine Phosphonic Acid	N/A	N/A	N/A	small molecule	experimental	Molecule: Leucine Aminopeptidase	2
DB02387	3-Hydroxyphenylalanine	N/A	587-33-7	N/A	small molecule	experimental	N/A	0
DB02388	Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02390	5-Bromo-N[2-(Dimethylamino)Ethyl]-9-Aminoacridine-4-Carboxamide	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02391	2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One	N/A	N/A	N/A	small molecule	experimental	Purine Nucleoside Phosphorylase inhibitor	1
DB02393	D-Gluco-2,5-Anhydro-1-Deoxy-1-Phosphonohexitol-6-Phosphate	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02394	Oxiranpseudoglucose	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02395	3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02396	Methylethylamine	N/A	624-78-2	N/A	small molecule	experimental	N/A	1
DB02397	O-(2-Acetamido-2-Deoxy-Alpha-D-Galactopyranosyl)-L-Serine	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02398	6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02399	L-Rhamnitol	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02400	5-Methoxy-1,2-Dimethyl-3-(4-Nitrophenoxymethyl)Indole-4,7-Dione	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02401	4-Hydroxy-1,2,5-Oxadiazole-3-Carboxylic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02402	5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02403	2-Fluoroaniline	N/A	348-54-9	N/A	small molecule	experimental	N/A	1
DB02404	1-Deoxy-1-Thio-Heptaethylene Glycol	N/A	N/A	N/A	small molecule	experimental	Acetylcholinesterase inhibitor	1
DB02405	12-Bromododecanoic Acid	N/A	73367-80-3	N/A	small molecule	experimental	N/A	1
DB02406	N-Valeric Acid	N/A	109-52-4	N/A	small molecule	experimental	N/A	1
DB02407	6-O-Cyclohexylmethyl Guanine	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02408	(3s)-3-Amino-1-(Cyclopropylamino)Heptane-2,2-Diol	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02409	(1r,4s)-2-Azabornane	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02410	2-Acetyl-3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-4-Methyl-5-(4,6,6-Trihydroxy-3,5-Dioxa-4,6-Diphosphahex-1-Yl)Thiazolium Inner Salt P,P'-Dioxide	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02411	2-(11-{2-[Benzenesulfonyl-(3-Methyl-Butyl)-Amino]-1-Hydroxy-Ethyl}-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-8-Yl)-Acetamide, Inhibitor 2	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02412	Tetrahydropyran	N/A	142-68-7	N/A	small molecule	experimental	N/A	0
DB02413	Hydroxyethylcysteine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02414	(3s,8ar)-3-(1h-Imidazol-5-Ylmethyl)Hexahydropyrrolo[1,2-a]Pyrazine-1,4-Dione	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02415	N-Octyl-2-Hydroxyethyl Sulfoxide	N/A	N/A	N/A	small molecule	experimental	N/A	3
DB02416	2-Ribofuranosyl-3-Iodo-2,3-Dihydro-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02417	2,4,6-Tribromophenol	N/A	118-79-6	N/A	small molecule	experimental	N/A	0
DB02418	(R,R)-2,3-Butanediol	N/A	24347-58-8	N/A	small molecule	experimental	N/A	1
DB02419	Ethyl Oxo(Piperidin-1-Yl)Acetate	N/A	53074-96-7	N/A	small molecule	experimental	N/A	1
DB02420	[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02421	Uridine-5'-Diphosphate-Mannose	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02422	Methyl-2-S-(Alpha-D-Mannopyranosyl)-2-Thio-Alpha-D-Mannopyranoside	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02423	Thiopyrophosphate	N/A	68488-87-9	N/A	small molecule	experimental	N/A	0
DB02424	Geldanamycin	N/A	30562-34-6	N/A	small molecule	experimental	Antiviral Agents, Enzyme Inhibitors, Antibiotics, Antineoplastic, Cysteine Proteinase Inhibitors	2
DB02425	Hexadecyl Octanoate	N/A	29710-31-4	N/A	small molecule	experimental	N/A	1
DB02426	Carboxyatractyloside	N/A	33286-30-5	N/A	small molecule	experimental	N/A	1
DB02427	2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02428	Quinaldic Acid	N/A	93-10-7	N/A	small molecule	experimental	N/A	1
DB02429	4-(Aminosulfonyl)-N-[(4-Fluorophenyl)Methyl]-Benzamide	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02430	Trehalose-6-Phosphate	N/A	4484-88-2	N/A	small molecule	experimental	Enzyme Inhibitors	1
DB02431	Cytidine-5'-Triphosphate	N/A	65-47-4	N/A	small molecule	experimental	N/A	8
DB02432	RU90395	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02433	{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02434	4-(2-Thienyl)Butyric Acid	N/A	4653-11-6	N/A	small molecule	experimental	N/A	1
DB02435	Aminomethylcyclohexane	N/A	3218-02-8	N/A	small molecule	experimental	N/A	2
DB02436	2-{4-[(2s)-2-[({[(1s)-1-Carboxy-2-Phenylethyl]Amino}Carbonyl)Amino]-3-Oxo-3-(Pentylamino)Propyl]Phenoxy}Malonic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02437	(5r)-5-Amino-6-Hydroxyhexylcarbamic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	3
DB02438	3-O-Methylfructose in Linear Form	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02440	N-Octane	N/A	111-65-9	N/A	small molecule	experimental	N/A	3
DB02441	2-Butyl-5,6-Dihydro-1h-Imidazo[4,5-D]Pyridazine-4,7-Dione	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02442	Dioxyselenocysteine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02443	Methicillin Acyl-Serine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02445	2-Deoxy-2-Amino Glucitol-6-Phosphate	N/A	N/A	N/A	small molecule	experimental	N/A	3
DB02446	Glutamine Hydroxamate	HGA	N/A	N/A	small molecule	experimental	N/A	1
DB02447	3,8,9,10-Tetrahydroxy-7-Hydroxymethyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione	N/A	N/A	N/A	small molecule	experimental	Glycogen Phosphorylase inhibitor	1
DB02448	N-Tridecanoic Acid	N/A	638-53-9	N/A	small molecule	experimental	Phospholipase A2 Vrv-Pl-Viiia inhibitor	3
DB02449	3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02450	2-Benzo[1,3]Dioxol-5-Ylmethyl-3-Benzyl-Succinic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02452	Thymidine-5'-Triphosphate	N/A	N/A	N/A	small molecule	experimental	N/A	10
DB02453	Trihydroxyantimonite(Iii)	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02454	5-(6-Amino-9h-Purin-9-Yl)-4-Hydroxytetrahydrofuran-3-Yl Dihydrogen Phosphate	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02455	Fluoresceinylthioureido	N/A	N/A	N/A	small molecule	experimental	N/A	0
DB02456	Cytosine Arabinose-5'-Phosphate	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02457	Undecyl-Phosphinic Acid Butyl Ester	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02458	Glutathione S-(2,4 Dinitrobenzene)	N/A	26289-39-4	N/A	small molecule	experimental	N/A	2
DB02459	4-Guanidinobenzoic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02460	Hydrogenobyrinic Acid	N/A	23599-55-5	N/A	small molecule	experimental	N/A	1
DB02461	S-Methyl Phosphocysteine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02462	Thiocoumarin	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02463	2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02464	Benzylamine	N/A	100-46-9	N/A	small molecule	experimental	N/A	2
DB02465	Methoxy arachidonyl fluorophosphonate	MAFP	N/A	N/A	small molecule	experimental	Enzyme Inhibitors	1
DB02466	4-[3-Oxo-3-(5,5,8,8-Tetramethyl-5,6,7,8-Tetrahydro-Naphthalen-2-Yl)-Propenyl]-Benzoic Acid	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02467	S-Oxymethionine	N/A	2006-10-2	N/A	small molecule	experimental	N/A	6
DB02468	12-Phenylheme	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02469	4,6-Dideoxy-4-Amino-Beta-D-Glucopyranoside	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02470	D-Glycero-D-Mannopyranose-7-Phosphate	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02471	Nojirimycine Tetrazole	N/A	N/A	N/A	small molecule	experimental	N/A	3
DB02472	6-Hydroxy-7,8-Dihydro Purine Nucleoside	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02473	6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02474	Bmsc-0013	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02475	Deoxyguanidinoproclavaminic acid	Deoxyamidinoproclavaminate	N/A	N/A	small molecule	experimental	N/A	2
DB02477	[Cyclohexylethyl]-[[[[4-[2-Methyl-1-Imidazolyl-Butyl]Phenyl]Acetyl]-Seryl]-Lysinyl]-Amine	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02479	(R)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02480	(S)-4-Bromo-3-Hydroxy-3-Methylbutyl Diphosphate	N/A	N/A	N/A	small molecule	experimental	N/A	1
DB02481	N-Benzylformamide	N/A	6343-54-0	N/A	small molecule	experimental	N/A	1
DB02482	Phosphonothreonine	N/A	N/A	N/A	small molecule	experimental	Indicators and Reagents	10
DB02483	Etheno-Nad	N/A	N/A	N/A	small molecule	experimental	N/A	2
DB02484	Cytidine 5'-Diphosphoglycerol	N/A	N/A	N/A	small molecule	experimental	N/A	1
